Task,treatment,rho_ha_est,rho_ha_min,rho_ha_max,rho_hh_est,rho_hh_min,rho_hh_max,phi_0_est,phi_0_min,phi_0_max,alpha_est,alpha_min,alpha_max
105,tr_better,0.593491317,0.510892405,0.665888028,0.552644255,0.489235849,0.612509775,0.658376233,0.550413437,0.730126993,0.524182232,0.448300976,0.752187409
106,tr_better,0.592240663,0.508888923,0.664106971,0.551999071,0.480746271,0.614499783,0.658827479,0.544453771,0.728132354,0.522585511,0.447925509,0.749708362
107,tr_better,0.593845781,0.510235675,0.666175749,0.552879608,0.486073307,0.60445458,0.659435539,0.549211297,0.729331814,0.525317163,0.445756908,0.760161077
108,tr_better,0.592682295,0.509768929,0.664615102,0.552183876,0.508027758,0.61615602,0.659142899,0.546278248,0.728800951,0.524268722,0.446089532,0.760555898
109,tr_better,0.593923924,0.512590924,0.664678764,0.55289328,0.492098023,0.599001994,0.659296132,0.549700332,0.728531704,0.52327432,0.446535959,0.737631694
110,tr_better,0.594289178,0.51071094,0.667082771,0.552241537,0.488146697,0.612975463,0.659708154,0.542656407,0.73017829,0.525774182,0.449227137,0.756641102
111,tr_better,0.594671676,0.508939478,0.666582852,0.552108087,0.481020974,0.64324042,0.659965818,0.543093623,0.730052975,0.524241337,0.446977316,0.758062707
112,tr_better,0.594514287,0.51049637,0.665020927,0.55241697,0.49827634,0.60278792,0.660404385,0.545585226,0.732523594,0.524927806,0.448066422,0.74574173
113,tr_better,0.594210419,0.511374923,0.666889026,0.55226297,0.490101373,0.625615507,0.660728093,0.547645708,0.729756051,0.52343039,0.447197319,0.740001133
114,tr_better,0.5940462,0.509850166,0.667524605,0.552303359,0.477049726,0.617490965,0.660114471,0.550012277,0.731523872,0.524046487,0.446685684,0.754884958
115,tr_better,0.591839498,0.508736521,0.663660108,0.550729973,0.49019673,0.615020683,0.660435744,0.54976486,0.727436879,0.525871361,0.448747523,0.751028775
116,tr_better,0.595471024,0.513943473,0.667050043,0.551479601,0.488524292,0.623043537,0.660374493,0.5416824,0.731918898,0.525236003,0.447752961,0.762603361
117,tr_better,0.594324184,0.511568591,0.665693018,0.553029726,0.501384896,0.617672333,0.660852736,0.546209173,0.731020662,0.523367262,0.443305812,0.754797461
118,tr_better,0.592443598,0.50766717,0.662988299,0.551459438,0.47700644,0.607705283,0.658932479,0.546900465,0.729958792,0.525301779,0.448274986,0.758332006
119,tr_better,0.592487063,0.509631934,0.663727422,0.550802459,0.474752818,0.600425963,0.6599473,0.545645126,0.728080507,0.527323324,0.449886624,0.764006188
120,tr_better,0.594537583,0.511103601,0.668289907,0.550665703,0.469445637,0.615264037,0.661972448,0.546944799,0.733389686,0.524379225,0.447690804,0.752239762
121,tr_better,0.592079988,0.507758011,0.66261797,0.552485123,0.486654065,0.605836426,0.658085574,0.545117462,0.725924335,0.524023653,0.447405269,0.749863702
122,tr_better,0.593504588,0.509590414,0.664546717,0.552763256,0.495056685,0.597148039,0.659562818,0.54655486,0.729895505,0.525524267,0.445518273,0.759938825
