Task,treatment,rho_ha_est,rho_ha_min,rho_ha_max,rho_hh_est,rho_hh_min,rho_hh_max,phi_0_est,phi_0_min,phi_0_max,alpha_est,alpha_min,alpha_max
112,tr_worse,0.313223234,0.216360777,0.406792687,0.537515193,0.476094808,0.593796327,1.314028848,1.167818368,1.454494397,1.030845809,0.813724081,1.361078424
113,tr_worse,0.314692336,0.219210796,0.408778676,0.543704158,0.450877967,0.596245579,1.321161209,1.194750688,1.456179007,1.032720411,0.811004389,1.378584681
114,tr_worse,0.31335903,0.216493516,0.405805453,0.537466625,0.465373996,0.612305629,1.316247344,1.165272993,1.457654401,1.035051927,0.815211218,1.380807046
115,tr_worse,0.31455271,0.218106893,0.408571161,0.537017067,0.477212218,0.596446911,1.316960993,1.167544458,1.455429798,1.040273429,0.812251701,1.382918284
116,tr_worse,0.315343358,0.217774368,0.404807979,0.53731045,0.470842105,0.597003662,1.315142971,1.159049982,1.456089519,1.034351064,0.80934574,1.369311245
117,tr_worse,0.311825529,0.214362009,0.405042876,0.538064225,0.47901308,0.603146235,1.31238043,1.171141028,1.449493973,1.030273154,0.80662699,1.361251319
118,tr_worse,0.307848815,0.209356742,0.402644356,0.535547828,0.476651329,0.62451865,1.311570633,1.153543865,1.449058163,1.024889606,0.8052611,1.351032008
119,tr_worse,0.312929806,0.216772336,0.403888055,0.536071107,0.469271322,0.602321745,1.317537313,1.144278397,1.461300017,1.035872763,0.806572128,1.378989551
120,tr_worse,0.312644722,0.215919115,0.405387462,0.53497958,0.457661814,0.596077002,1.31931965,1.17289733,1.459983313,1.039422227,0.810323156,1.390023654
121,tr_worse,0.314424598,0.218571364,0.409246229,0.53767902,0.439798196,0.593833199,1.315698665,1.164845731,1.455126575,1.034611605,0.814516922,1.384082575
122,tr_worse,0.313254784,0.216263992,0.408004624,0.537716217,0.476216299,0.596959878,1.313051632,1.165529245,1.450461987,1.026601769,0.810896287,1.357943363
123,tr_worse,0.315056346,0.217428493,0.41001941,0.538249862,0.479675887,0.61177,1.313971203,1.163476029,1.456902717,1.035378772,0.813186741,1.381943655
124,tr_worse,0.317470474,0.218352032,0.408609461,0.537706339,0.47547285,0.587931923,1.313851783,1.159083507,1.455299055,1.033998445,0.810875662,1.390303005
125,tr_worse,0.312845382,0.216308883,0.406393615,0.538353288,0.450144698,0.600284791,1.315288679,1.167903481,1.457374798,1.035031019,0.810046861,1.380314026
126,tr_worse,0.313778863,0.21577475,0.406483839,0.537965111,0.476091398,0.603434782,1.314115886,1.175376709,1.453866091,1.032682894,0.812044712,1.400062001
127,tr_worse,0.314626283,0.219250916,0.405738777,0.538915223,0.476028226,0.592289751,1.31553185,1.168035094,1.453302047,1.035326345,0.809536229,1.389218633
128,tr_worse,0.311352052,0.21120032,0.404579177,0.537574694,0.47273379,0.604449507,1.313208712,1.158959936,1.458244644,1.0300277,0.804950687,1.36457403
129,tr_worse,0.314195932,0.217552266,0.407746581,0.538445176,0.485381075,0.585800953,1.314786374,1.167518148,1.452621054,1.031824953,0.813144037,1.363414658
130,tr_worse,0.319921349,0.225099737,0.415103415,0.535695075,0.466080464,0.577059744,1.318420506,1.172455219,1.459535621,1.043054637,0.818212736,1.403549269
131,tr_worse,0.315850152,0.219322749,0.410328751,0.537580945,0.490842181,0.590934175,1.313823835,1.166737003,1.457477863,1.035874165,0.807805105,1.3671789
132,tr_worse,0.314256854,0.21684,0.405880243,0.539118047,0.483152459,0.596296209,1.315492222,1.167279537,1.453566032,1.035624719,0.807983936,1.375483586
